#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , BASE1 , 2000-01-01 , 12:00 , AIR1 , 2000-01-01 , 13:13
LEG_02_29 , BASE2 , 2000-01-02 , 21:06 , AIR4 , 2000-01-02 , 22:06
LEG_02_30 , BASE2 , 2000-01-02 , 12:59 , AIR12 , 2000-01-02 , 15:46
LEG_02_31 , BASE2 , 2000-01-02 , 16:13 , AIR3 , 2000-01-02 , 16:59
LEG_02_32 , AIR7 , 2000-01-02 , 10:10 , BASE2 , 2000-01-02 , 12:11
LEG_02_33 , BASE2 , 2000-01-02 , 23:26 , AIR8 , 2000-01-03 , 02:33
LEG_02_34 , AIR2 , 2000-01-02 , 21:00 , BASE2 , 2000-01-02 , 21:51
LEG_02_35 , AIR11 , 2000-01-02 , 00:00 , BASE2 , 2000-01-02 , 01:55
LEG_03_0 , AIR3 , 2000-01-03 , 17:45 , BASE2 , 2000-01-03 , 18:27
LEG_03_1 , BASE2 , 2000-01-03 , 19:24 , AIR2 , 2000-01-03 , 20:15
LEG_03_2 , AIR13 , 2000-01-03 , 13:20 , BASE2 , 2000-01-03 , 15:18
LEG_03_3 , BASE2 , 2000-01-03 , 10:41 , AIR13 , 2000-01-03 , 12:22
LEG_03_4 , AIR5 , 2000-01-03 , 20:35 , BASE2 , 2000-01-03 , 21:49
LEG_03_5 , BASE2 , 2000-01-03 , 23:11 , AIR4 , 2000-01-04 , 00:22
LEG_03_6 , BASE2 , 2000-01-03 , 14:21 , AIR6 , 2000-01-03 , 16:54
LEG_03_7 , AIR4 , 2000-01-03 , 12:20 , BASE2 , 2000-01-03 , 13:26
LEG_03_8 , AIR6 , 2000-01-03 , 17:40 , BASE2 , 2000-01-03 , 20:23
LEG_03_9 , BASE2 , 2000-01-03 , 21:19 , AIR7 , 2000-01-03 , 23:04
LEG_03_10 , AIR8 , 2000-01-03 , 12:40 , BASE1 , 2000-01-03 , 14:30
LEG_03_11 , BASE1 , 2000-01-03 , 15:24 , AIR9 , 2000-01-03 , 18:32
LEG_03_12 , BASE1 , 2000-01-03 , 18:30 , AIR9 , 2000-01-03 , 21:36
LEG_03_13 , AIR10 , 2000-01-03 , 14:20 , BASE1 , 2000-01-03 , 16:49
LEG_03_14 , BASE2 , 2000-01-03 , 21:16 , AIR11 , 2000-01-03 , 23:06
LEG_03_15 , AIR9 , 2000-01-03 , 17:05 , BASE2 , 2000-01-03 , 19:44
LEG_03_16 , AIR2 , 2000-01-03 , 19:30 , BASE1 , 2000-01-03 , 20:54
LEG_03_17 , BASE1 , 2000-01-03 , 22:01 , AIR10 , 2000-01-04 , 00:47
LEG_03_18 , BASE3 , 2000-01-03 , 14:05 , AIR9 , 2000-01-03 , 15:55
LEG_03_19 , AIR9 , 2000-01-03 , 19:20 , BASE3 , 2000-01-03 , 21:18
LEG_03_20 , AIR9 , 2000-01-03 , 23:05 , BASE3 , 2000-01-04 , 00:58
LEG_03_21 , BASE2 , 2000-01-03 , 17:56 , AIR5 , 2000-01-03 , 19:10
LEG_03_22 , AIR6 , 2000-01-03 , 14:00 , BASE2 , 2000-01-03 , 16:41
LEG_03_23 , BASE3 , 2000-01-03 , 22:20 , AIR6 , 2000-01-04 , 00:21
LEG_03_24 , AIR4 , 2000-01-03 , 23:00 , BASE2 , 2000-01-04 , 00:09
LEG_03_25 , BASE2 , 2000-01-03 , 01:04 , AIR12 , 2000-01-03 , 03:46
LEG_03_26 , BASE2 , 2000-01-03 , 17:47 , AIR2 , 2000-01-03 , 18:34
LEG_03_27 , AIR12 , 2000-01-03 , 13:45 , BASE2 , 2000-01-03 , 16:34
LEG_03_28 , AIR12 , 2000-01-03 , 17:00 , BASE2 , 2000-01-03 , 19:52
LEG_03_29 , BASE2 , 2000-01-03 , 21:06 , AIR4 , 2000-01-03 , 22:06
LEG_03_30 , BASE2 , 2000-01-03 , 12:59 , AIR12 , 2000-01-03 , 15:46
LEG_03_31 , BASE2 , 2000-01-03 , 16:13 , AIR3 , 2000-01-03 , 16:59
LEG_03_32 , AIR7 , 2000-01-03 , 10:10 , BASE2 , 2000-01-03 , 12:11
LEG_03_33 , BASE2 , 2000-01-03 , 23:26 , AIR8 , 2000-01-04 , 02:33
LEG_03_34 , AIR2 , 2000-01-03 , 21:00 , BASE2 , 2000-01-03 , 21:51
LEG_03_35 , AIR11 , 2000-01-03 , 00:00 , BASE2 , 2000-01-03 , 01:55
LEG_04_0 , AIR3 , 2000-01-04 , 17:45 , BASE2 , 2000-01-04 , 18:27
LEG_04_1 , BASE2 , 2000-01-04 , 19:24 , AIR2 , 2000-01-04 , 20:15
LEG_04_2 , AIR13 , 2000-01-04 , 13:20 , BASE2 , 2000-01-04 , 15:18
LEG_04_3 , BASE2 , 2000-01-04 , 10:41 , AIR13 , 2000-01-04 , 12:22
LEG_04_4 , AIR5 , 2000-01-04 , 20:35 , BASE2 , 2000-01-04 , 21:49
LEG_04_5 , BASE2 , 2000-01-04 , 23:11 , AIR4 , 2000-01-05 , 00:22
LEG_04_6 , BASE2 , 2000-01-04 , 14:21 , AIR6 , 2000-01-04 , 16:54
LEG_04_7 , AIR4 , 2000-01-04 , 12:20 , BASE2 , 2000-01-04 , 13:26
LEG_04_8 , AIR6 , 2000-01-04 , 17:40 , BASE2 , 2000-01-04 , 20:23
LEG_04_9 , BASE2 , 2000-01-04 , 21:19 , AIR7 , 2000-01-04 , 23:04
LEG_04_10 , AIR8 , 2000-01-04 , 12:40 , BASE1 , 2000-01-04 , 14:30
LEG_04_11 , BASE1 , 2000-01-04 , 15:24 , AIR9 , 2000-01-04 , 18:32
LEG_04_12 , BASE1 , 2000-01-04 , 18:30 , AIR9 , 2000-01-04 , 21:36
LEG_04_13 , AIR10 , 2000-01-04 , 14:20 , BASE1 , 2000-01-04 , 16:49
LEG_04_14 , BASE2 , 2000-01-04 , 21:16 , AIR11 , 2000-01-04 , 23:06
LEG_04_15 , AIR9 , 2000-01-04 , 17:05 , BASE2 , 2000-01-04 , 19:44
LEG_04_16 , AIR2 , 2000-01-04 , 19:30 , BASE1 , 2000-01-04 , 20:54
LEG_04_17 , BASE1 , 2000-01-04 , 22:01 , AIR10 , 2000-01-05 , 00:47
LEG_04_18 , BASE3 , 2000-01-04 , 14:05 , AIR9 , 2000-01-04 , 15:55
LEG_04_19 , AIR9 , 2000-01-04 , 19:20 , BASE3 , 2000-01-04 , 21:18
LEG_04_20 , AIR9 , 2000-01-04 , 23:05 , BASE3 , 2000-01-05 , 00:58
LEG_04_21 , BASE2 , 2000-01-04 , 17:56 , AIR5 , 2000-01-04 , 19:10
LEG_04_22 , AIR6 , 2000-01-04 , 14:00 , BASE2 , 2000-01-04 , 16:41
LEG_04_23 , BASE3 , 2000-01-04 , 22:20 , AIR6 , 2000-01-05 , 00:21
LEG_04_24 , AIR4 , 2000-01-04 , 23:00 , BASE2 , 2000-01-05 , 00:09
LEG_04_25 , BASE2 , 2000-01-04 , 01:04 , AIR12 , 2000-01-04 , 03:46
LEG_04_26 , BASE2 , 2000-01-04 , 17:47 , AIR2 , 2000-01-04 , 18:34
LEG_04_27 , AIR12 , 2000-01-04 , 13:45 , BASE2 , 2000-01-04 , 16:34
LEG_04_28 , AIR12 , 2000-01-04 , 17:00 , BASE2 , 2000-01-04 , 19:52
LEG_04_29 , BASE2 , 2000-01-04 , 21:06 , AIR4 , 2000-01-04 , 22:06
LEG_04_30 , BASE2 , 2000-01-04 , 12:59 , AIR12 , 2000-01-04 , 15:46
LEG_04_31 , BASE2 , 2000-01-04 , 16:13 , AIR3 , 2000-01-04 , 16:59
LEG_04_32 , AIR7 , 2000-01-04 , 10:10 , BASE2 , 2000-01-04 , 12:11
LEG_04_33 , BASE2 , 2000-01-04 , 23:26 , AIR8 , 2000-01-05 , 02:33
LEG_04_34 , AIR2 , 2000-01-04 , 21:00 , BASE2 , 2000-01-04 , 21:51
LEG_04_35 , AIR11 , 2000-01-04 , 00:00 , BASE2 , 2000-01-04 , 01:55
LEG_05_0 , AIR3 , 2000-01-05 , 17:45 , BASE2 , 2000-01-05 , 18:27
LEG_05_1 , AIR13 , 2000-01-05 , 13:20 , BASE2 , 2000-01-05 , 15:18
LEG_05_2 , BASE2 , 2000-01-05 , 10:41 , AIR13 , 2000-01-05 , 12:22
LEG_05_3 , AIR5 , 2000-01-05 , 20:35 , BASE2 , 2000-01-05 , 21:49
LEG_05_4 , BASE2 , 2000-01-05 , 14:21 , AIR6 , 2000-01-05 , 16:54
LEG_05_5 , AIR4 , 2000-01-05 , 12:20 , BASE2 , 2000-01-05 , 13:26
LEG_05_6 , AIR6 , 2000-01-05 , 17:40 , BASE2 , 2000-01-05 , 20:23
LEG_05_7 , AIR8 , 2000-01-05 , 12:40 , BASE1 , 2000-01-05 , 14:30
LEG_05_8 , BASE1 , 2000-01-05 , 15:24 , AIR9 , 2000-01-05 , 18:32
LEG_05_9 , BASE1 , 2000-01-05 , 18:30 , AIR9 , 2000-01-05 , 21:36
LEG_05_10 , AIR10 , 2000-01-05 , 14:20 , BASE1 , 2000-01-05 , 16:49
LEG_05_11 , AIR9 , 2000-01-05 , 17:05 , BASE2 , 2000-01-05 , 19:44
LEG_05_12 , AIR14 , 2000-01-05 , 22:40 , BASE1 , 2000-01-06 , 00:41
LEG_05_13 , AIR2 , 2000-01-05 , 19:30 , BASE1 , 2000-01-05 , 20:54
LEG_05_14 , BASE1 , 2000-01-05 , 22:01 , AIR10 , 2000-01-06 , 00:47
LEG_05_15 , BASE3 , 2000-01-05 , 14:05 , AIR9 , 2000-01-05 , 15:55
LEG_05_16 , AIR9 , 2000-01-05 , 19:20 , BASE3 , 2000-01-05 , 21:18
LEG_05_17 , AIR9 , 2000-01-05 , 23:05 , BASE3 , 2000-01-06 , 00:58
LEG_05_18 , BASE2 , 2000-01-05 , 17:56 , AIR5 , 2000-01-05 , 19:10
LEG_05_19 , AIR6 , 2000-01-05 , 14:00 , BASE2 , 2000-01-05 , 16:41
LEG_05_20 , BASE3 , 2000-01-05 , 22:20 , AIR6 , 2000-01-06 , 00:21
LEG_05_21 , BASE2 , 2000-01-05 , 20:57 , AIR14 , 2000-01-05 , 21:48
LEG_05_22 , BASE2 , 2000-01-05 , 01:04 , AIR12 , 2000-01-05 , 03:46
LEG_05_23 , BASE2 , 2000-01-05 , 17:47 , AIR2 , 2000-01-05 , 18:34
LEG_05_24 , AIR12 , 2000-01-05 , 13:45 , BASE2 , 2000-01-05 , 16:34
LEG_05_25 , AIR12 , 2000-01-05 , 17:00 , BASE2 , 2000-01-05 , 19:52
LEG_05_26 , BASE2 , 2000-01-05 , 12:59 , AIR12 , 2000-01-05 , 15:46
LEG_05_27 , BASE2 , 2000-01-05 , 16:13 , AIR3 , 2000-01-05 , 16:59
LEG_05_28 , AIR7 , 2000-01-05 , 10:10 , BASE2 , 2000-01-05 , 12:11
LEG_05_29 , BASE2 , 2000-01-05 , 19:21 , AIR8 , 2000-01-05 , 22:27
LEG_05_30 , AIR11 , 2000-01-05 , 00:00 , BASE2 , 2000-01-05 , 01:55
LEG_06_0 , AIR15 , 2000-01-06 , 21:05 , BASE1 , 2000-01-07 , 00:21
LEG_06_1 , BASE1 , 2000-01-06 , 12:18 , AIR16 , 2000-01-06 , 13:47
LEG_06_2 , AIR3 , 2000-01-06 , 17:45 , BASE2 , 2000-01-06 , 18:27
LEG_06_3 , BASE2 , 2000-01-06 , 19:24 , AIR2 , 2000-01-06 , 20:15
LEG_06_4 , AIR5 , 2000-01-06 , 20:35 , BASE2 , 2000-01-06 , 21:49
LEG_06_5 , BASE2 , 2000-01-06 , 23:11 , AIR4 , 2000-01-07 , 00:22
LEG_06_6 , BASE2 , 2000-01-06 , 21:19 , AIR7 , 2000-01-06 , 23:04
LEG_06_7 , AIR8 , 2000-01-06 , 12:40 , BASE1 , 2000-01-06 , 14:30
LEG_06_8 , BASE1 , 2000-01-06 , 15:24 , AIR9 , 2000-01-06 , 18:32
LEG_06_9 , BASE1 , 2000-01-06 , 18:30 , AIR9 , 2000-01-06 , 21:36
LEG_06_10 , AIR10 , 2000-01-06 , 14:20 , BASE1 , 2000-01-06 , 16:49
LEG_06_11 , AIR9 , 2000-01-06 , 17:05 , BASE2 , 2000-01-06 , 19:44
LEG_06_12 , AIR16 , 2000-01-06 , 14:55 , BASE2 , 2000-01-06 , 16:47
LEG_06_13 , AIR2 , 2000-01-06 , 19:30 , BASE1 , 2000-01-06 , 20:54
LEG_06_14 , BASE1 , 2000-01-06 , 22:01 , AIR10 , 2000-01-07 , 00:47
LEG_06_15 , BASE3 , 2000-01-06 , 14:05 , AIR9 , 2000-01-06 , 15:55
LEG_06_16 , AIR9 , 2000-01-06 , 19:20 , BASE3 , 2000-01-06 , 21:18
LEG_06_17 , AIR9 , 2000-01-06 , 23:05 , BASE3 , 2000-01-07 , 00:58
LEG_06_18 , BASE2 , 2000-01-06 , 17:56 , AIR5 , 2000-01-06 , 19:10
LEG_06_19 , AIR6 , 2000-01-06 , 14:00 , BASE2 , 2000-01-06 , 16:41
LEG_06_20 , BASE3 , 2000-01-06 , 22:20 , AIR6 , 2000-01-07 , 00:21
LEG_06_21 , AIR4 , 2000-01-06 , 23:00 , BASE2 , 2000-01-07 , 00:09
LEG_06_22 , BASE2 , 2000-01-06 , 01:04 , AIR12 , 2000-01-06 , 03:46
LEG_06_23 , BASE2 , 2000-01-06 , 17:47 , AIR2 , 2000-01-06 , 18:34
LEG_06_24 , AIR12 , 2000-01-06 , 13:45 , BASE2 , 2000-01-06 , 16:34
LEG_06_25 , AIR12 , 2000-01-06 , 17:00 , BASE2 , 2000-01-06 , 19:52
LEG_06_26 , BASE2 , 2000-01-06 , 21:06 , AIR4 , 2000-01-06 , 22:06
LEG_06_27 , BASE2 , 2000-01-06 , 12:59 , AIR12 , 2000-01-06 , 15:46
LEG_06_28 , BASE2 , 2000-01-06 , 16:13 , AIR3 , 2000-01-06 , 16:59
LEG_06_29 , BASE2 , 2000-01-06 , 17:53 , AIR15 , 2000-01-06 , 19:45
LEG_06_30 , BASE2 , 2000-01-06 , 23:26 , AIR8 , 2000-01-07 , 02:33
LEG_06_31 , AIR2 , 2000-01-06 , 21:00 , BASE2 , 2000-01-06 , 21:51
LEG_07_0 , BASE1 , 2000-01-07 , 12:00 , AIR1 , 2000-01-07 , 13:13
LEG_07_1 , AIR1 , 2000-01-07 , 14:05 , BASE2 , 2000-01-07 , 15:19
LEG_07_2 , AIR3 , 2000-01-07 , 17:45 , BASE2 , 2000-01-07 , 18:27
LEG_07_3 , BASE2 , 2000-01-07 , 19:24 , AIR2 , 2000-01-07 , 20:15
LEG_07_4 , AIR5 , 2000-01-07 , 20:35 , BASE2 , 2000-01-07 , 21:49
LEG_07_5 , BASE2 , 2000-01-07 , 23:11 , AIR4 , 2000-01-08 , 00:22
LEG_07_6 , BASE2 , 2000-01-07 , 14:21 , AIR6 , 2000-01-07 , 16:54
LEG_07_7 , AIR4 , 2000-01-07 , 12:20 , BASE2 , 2000-01-07 , 13:26
LEG_07_8 , AIR6 , 2000-01-07 , 17:40 , BASE2 , 2000-01-07 , 20:23
LEG_07_9 , BASE2 , 2000-01-07 , 21:19 , AIR7 , 2000-01-07 , 23:04
LEG_07_10 , AIR8 , 2000-01-07 , 12:40 , BASE1 , 2000-01-07 , 14:30
LEG_07_11 , BASE1 , 2000-01-07 , 15:24 , AIR9 , 2000-01-07 , 18:32
LEG_07_12 , BASE1 , 2000-01-07 , 18:30 , AIR9 , 2000-01-07 , 21:36
LEG_07_13 , AIR10 , 2000-01-07 , 14:20 , BASE1 , 2000-01-07 , 16:49
LEG_07_14 , BASE2 , 2000-01-07 , 21:16 , AIR11 , 2000-01-07 , 23:06
LEG_07_15 , AIR9 , 2000-01-07 , 17:05 , BASE2 , 2000-01-07 , 19:44
LEG_07_16 , AIR2 , 2000-01-07 , 19:30 , BASE1 , 2000-01-07 , 20:54
LEG_07_17 , BASE1 , 2000-01-07 , 22:01 , AIR10 , 2000-01-08 , 00:47
LEG_07_18 , BASE3 , 2000-01-07 , 14:05 , AIR9 , 2000-01-07 , 15:55
LEG_07_19 , AIR9 , 2000-01-07 , 19:20 , BASE3 , 2000-01-07 , 21:18
LEG_07_20 , AIR9 , 2000-01-07 , 23:05 , BASE3 , 2000-01-08 , 00:58
LEG_07_21 , BASE2 , 2000-01-07 , 17:56 , AIR5 , 2000-01-07 , 19:10
LEG_07_22 , AIR6 , 2000-01-07 , 14:00 , BASE2 , 2000-01-07 , 16:41
LEG_07_23 , BASE3 , 2000-01-07 , 22:20 , AIR6 , 2000-01-08 , 00:21
LEG_07_24 , AIR4 , 2000-01-07 , 23:00 , BASE2 , 2000-01-08 , 00:09
LEG_07_25 , BASE2 , 2000-01-07 , 01:04 , AIR12 , 2000-01-07 , 03:46
LEG_07_26 , BASE2 , 2000-01-07 , 17:47 , AIR2 , 2000-01-07 , 18:34
LEG_07_27 , AIR12 , 2000-01-07 , 13:45 , BASE2 , 2000-01-07 , 16:34
LEG_07_28 , AIR12 , 2000-01-07 , 17:00 , BASE2 , 2000-01-07 , 19:52
LEG_07_29 , BASE2 , 2000-01-07 , 21:06 , AIR4 , 2000-01-07 , 22:06
LEG_07_30 , BASE2 , 2000-01-07 , 12:59 , AIR12 , 2000-01-07 , 15:46
LEG_07_31 , BASE2 , 2000-01-07 , 16:13 , AIR3 , 2000-01-07 , 16:59
LEG_07_32 , AIR7 , 2000-01-07 , 10:10 , BASE2 , 2000-01-07 , 12:11
LEG_07_33 , BASE2 , 2000-01-07 , 23:26 , AIR8 , 2000-01-08 , 02:33
LEG_07_34 , AIR2 , 2000-01-07 , 21:00 , BASE2 , 2000-01-07 , 21:51
LEG_08_0 , AIR3 , 2000-01-08 , 17:45 , BASE2 , 2000-01-08 , 18:27
LEG_08_1 , BASE2 , 2000-01-08 , 19:24 , AIR2 , 2000-01-08 , 20:15
LEG_08_2 , AIR13 , 2000-01-08 , 13:20 , BASE2 , 2000-01-08 , 15:18
LEG_08_3 , BASE2 , 2000-01-08 , 10:41 , AIR13 , 2000-01-08 , 12:22
LEG_08_4 , AIR5 , 2000-01-08 , 20:35 , BASE2 , 2000-01-08 , 21:49
LEG_08_5 , BASE2 , 2000-01-08 , 23:11 , AIR4 , 2000-01-09 , 00:22
LEG_08_6 , BASE2 , 2000-01-08 , 14:21 , AIR6 , 2000-01-08 , 16:54
LEG_08_7 , AIR4 , 2000-01-08 , 12:20 , BASE2 , 2000-01-08 , 13:26
LEG_08_8 , AIR6 , 2000-01-08 , 17:40 , BASE2 , 2000-01-08 , 20:23
LEG_08_9 , BASE2 , 2000-01-08 , 21:19 , AIR7 , 2000-01-08 , 23:04
LEG_08_10 , AIR8 , 2000-01-08 , 12:40 , BASE1 , 2000-01-08 , 14:30
LEG_08_11 , BASE1 , 2000-01-08 , 15:24 , AIR9 , 2000-01-08 , 18:32
LEG_08_12 , BASE1 , 2000-01-08 , 18:30 , AIR9 , 2000-01-08 , 21:36
LEG_08_13 , AIR10 , 2000-01-08 , 14:20 , BASE1 , 2000-01-08 , 16:49
LEG_08_14 , BASE2 , 2000-01-08 , 21:16 , AIR11 , 2000-01-08 , 23:06
LEG_08_15 , AIR9 , 2000-01-08 , 17:05 , BASE2 , 2000-01-08 , 19:44
LEG_08_16 , AIR2 , 2000-01-08 , 19:30 , BASE1 , 2000-01-08 , 20:54
LEG_08_17 , BASE1 , 2000-01-08 , 22:01 , AIR10 , 2000-01-09 , 00:47
LEG_08_18 , BASE3 , 2000-01-08 , 14:05 , AIR9 , 2000-01-08 , 15:55
LEG_08_19 , AIR9 , 2000-01-08 , 19:20 , BASE3 , 2000-01-08 , 21:18
LEG_08_20 , AIR9 , 2000-01-08 , 23:05 , BASE3 , 2000-01-09 , 00:58
LEG_08_21 , BASE2 , 2000-01-08 , 17:56 , AIR5 , 2000-01-08 , 19:10
LEG_08_22 , AIR6 , 2000-01-08 , 14:00 , BASE2 , 2000-01-08 , 16:41
LEG_08_23 , BASE3 , 2000-01-08 , 22:20 , AIR6 , 2000-01-09 , 00:21
LEG_08_24 , AIR4 , 2000-01-08 , 23:00 , BASE2 , 2000-01-09 , 00:09
LEG_08_25 , BASE2 , 2000-01-08 , 01:04 , AIR12 , 2000-01-08 , 03:46
LEG_08_26 , BASE2 , 2000-01-08 , 17:47 , AIR2 , 2000-01-08 , 18:34
LEG_08_27 , AIR12 , 2000-01-08 , 13:45 , BASE2 , 2000-01-08 , 16:34
LEG_08_28 , AIR12 , 2000-01-08 , 17:00 , BASE2 , 2000-01-08 , 19:52
LEG_08_29 , BASE2 , 2000-01-08 , 21:06 , AIR4 , 2000-01-08 , 22:06
LEG_08_30 , BASE2 , 2000-01-08 , 12:59 , AIR12 , 2000-01-08 , 15:46
LEG_08_31 , BASE2 , 2000-01-08 , 16:13 , AIR3 , 2000-01-08 , 16:59
LEG_08_32 , AIR7 , 2000-01-08 , 10:10 , BASE2 , 2000-01-08 , 12:11
LEG_08_33 , BASE2 , 2000-01-08 , 23:26 , AIR8 , 2000-01-09 , 02:33
LEG_08_34 , AIR2 , 2000-01-08 , 21:00 , BASE2 , 2000-01-08 , 21:51
LEG_08_35 , AIR11 , 2000-01-08 , 00:00 , BASE2 , 2000-01-08 , 01:55
LEG_09_0 , AIR3 , 2000-01-09 , 17:45 , BASE2 , 2000-01-09 , 18:27
LEG_09_1 , BASE2 , 2000-01-09 , 19:24 , AIR2 , 2000-01-09 , 20:15
LEG_09_2 , AIR13 , 2000-01-09 , 13:20 , BASE2 , 2000-01-09 , 15:18
LEG_09_3 , BASE2 , 2000-01-09 , 10:41 , AIR13 , 2000-01-09 , 12:22
LEG_09_4 , AIR5 , 2000-01-09 , 20:35 , BASE2 , 2000-01-09 , 21:49
LEG_09_5 , BASE2 , 2000-01-09 , 23:11 , AIR4 , 2000-01-10 , 00:22
LEG_09_6 , BASE2 , 2000-01-09 , 14:21 , AIR6 , 2000-01-09 , 16:54
